Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,Country
Aamer Jamal,2023-2025,8,15,2,352,82,27.07,57.32,0,2,2,PAK
Abdullah Shafique,2023-2024,10,19,1,512,201,28.44,50.54,2,1,4,PAK
Abrar Ahmed,2023-2025,6,8,3,26,10,5.20,52.00,0,0,0,PAK
Agha Salman,2023-2025,14,26,5,870,132,41.42,65.70,2,6,2,PAK
Rehan Ahmed,2024-2024,4,8,0,92,28,11.50,53.80,0,0,1,ENG
Akash Deep,2024-2024,7,10,0,83,31,8.30,49.40,0,0,3,IND
MM Ali,2023-2023,4,7,0,180,54,25.71,65.21,0,1,0,ENG
JM Anderson,2023-2024,9,15,7,41,12,5.12,31.06,0,0,3,ENG
R Ashwin,2023-2024,14,20,0,374,113,18.70,55.90,1,1,3,IND
A Athanaze,2023-2025,13,25,0,627,92,25.08,53.54,0,4,2,WI
AAP Atkinson,2024-2024,11,16,1,352,118,23.46,79.10,1,0,1,ENG
Babar Azam,2023-2025,12,23,0,539,81,23.43,50.32,0,3,1,PAK
JM Bairstow,2023-2024,10,19,1,560,99,31.11,79.09,0,3,1,ENG
T Bavuma,2023-2025,7,11,1,609,113,60.90,54.37,2,4,1,SA
DG Bedingham,2023-2025,12,21,2,645,110,33.94,69.72,1,3,1,SA
JG Bethell,2024-2024,3,6,1,260,96,52.00,75.14,0,3,0,ENG
KS Bharat,2024-2024,2,4,0,92,41,23.00,48.16,0,0,0,IND
J Blackwood,2023-2023,2,4,1,59,20,19.66,34.10,0,0,0,WI
TA Blundell,2023-2024,14,26,2,480,115,20.00,69.46,1,1,4,NZ
SM Boland,2023-2025,5,8,4,50,20,12.50,28.08,0,0,2,AUS
C Bosch,2024-2024,1,2,1,81,81,81.00,86.17,0,1,1,SA
N Brand,2024-2024,2,4,0,66,34,16.50,51.16,0,0,0,SA
KC Brathwaite,2023-2025,13,26,0,586,75,22.53,42.40,0,3,2,WI
MP Breetzke,2024-2024,1,1,0,0,0,0.00,0.00,0,0,1,SA
SCJ Broad,2023-2023,5,8,2,78,16,13.00,55.31,0,0,0,ENG
HC Brook,2023-2024,17,29,0,1463,317,50.44,83.36,4,7,1,ENG
JJ Bumrah,2023-2025,15,23,5,120,26,6.66,41.95,0,0,10,IND
N Burger,2023-2024,3,5,1,33,23,8.25,29.20,0,0,2,SA
AT Carey,2023-2025,19,30,3,954,156,35.33,63.64,1,5,0,AUS
BA Carse,2024-2024,5,7,2,94,33,18.80,78.99,0,0,0,ENG
KU Carty,2024-2025,5,10,0,179,42,17.90,44.19,0,0,2,WI
T Chanderpaul,2023-2024,4,8,1,107,33,15.28,29.31,0,0,1,WI
LD Chandimal,2023-2025,13,24,0,870,116,36.25,51.87,1,7,3,SL
G Coetzee,2023-2024,2,2,0,20,19,10.00,76.92,0,0,0,SA
C Connolly,2025-2025,1,1,0,4,4,4.00,66.66,0,0,0,AUS
DP Conway,2023-2024,11,22,0,433,91,19.68,51.24,0,3,2,NZ
RRS Cornwall,2023-2023,1,2,1,23,19,23.00,47.91,0,0,0,WI
Z Crawley,2023-2024,19,34,0,1175,189,34.55,77.86,1,8,3,ENG
PJ Cummins,2023-2025,17,28,4,516,64,21.50,59.51,0,1,2,AUS
J Da Silva,2023-2024,11,21,2,381,82,20.05,51.41,0,2,1,SL
DM de Silva,2023-2025,13,24,0,1065,122,44.37,63.24,3,8,2,SL
R de Swardt,2024-2024,2,4,1,99,64,33.00,45.00,0,1,1,SA
T de Zorzi,2023-2024,9,16,0,486,177,30.37,56.05,1,1,1,SA
BM Duckett,2023-2024,22,41,1,1470,153,36.75,84.33,2,8,2,ENG
D Elgar,2023-2024,2,3,0,201,185,67.00,60.90,1,0,0,SA
Faheem Ashraf,2023-2023,1,2,0,14,9,7.00,35.89,0,0,0,PAK
AM Fernando,2023-2025,10,16,9,26,11,3.71,26.80,0,0,5,SL
BOP Fernando,2025-2025,1,2,0,13,7,6.50,65.00,0,0,0,SL
KNM Fernando,2023-2024,6,12,0,220,57,18.33,49.66,0,2,1,SL
MVT Fernando,2023-2024,7,13,3,74,21,7.40,29.13,0,0,3,SL
BT Foakes,2024-2024,5,10,0,205,47,20.50,39.34,0,0,0,ENG
