Player,Span,Mat,Inns,Balls,Mdns,Runs_conceded,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Country
Aamer Jamal,2023-2025,8,11,893,7,690,21,6/69,32.85,4.63,42.5,2,0,5,0,PAK
Abdullah Shafique,2023-2024,10,0,0,0,0,0,0,0,0,0,0,0,9,0,PAK
Abrar Ahmed,2023-2025,6,11,1200,31,638,18,4/27,35.44,3.19,66.6,0,0,2,0,PAK
Agha Salman,2023-2025,14,19,1249,18,778,13,3/148,59.84,3.73,96,0,0,20,0,PAK
Rehan Ahmed,2024-2024,4,7,817,16,550,15,4/66,36.66,4.03,54.4,0,0,3,0,ENG
Akash Deep,2024-2024,7,12,881,27,528,15,3/83,35.2,3.59,58.7,0,0,1,0,IND
MM Ali,2023-2023,4,7,756,15,463,9,3/76,51.44,3.67,84,0,0,0,0,ENG
JM Anderson,2023-2024,9,17,1744,67,820,19,3/32,43.15,2.82,91.7,0,0,3,0,ENG
R Ashwin,2023-2024,14,26,2673,61,1547,63,7/71,24.55,3.47,42.4,5,1,5,0,IND
A Athanaze,2023-2025,13,4,156,2,79,1,1/53,79,3.03,156,0,0,13,0,WI
AAP Atkinson,2024-2024,11,21,1852,52,1152,52,7/45,22.15,3.73,35.6,3,1,5,0,ENG
Babar Azam,2023-2025,12,0,0,0,0,0,0,0,0,0,0,0,14,0,PAK
JM Bairstow,2023-2024,10,0,0,0,0,0,0,0,0,0,0,0,26,1,ENG
T Bavuma,2023-2025,7,0,0,0,0,0,0,0,0,0,0,0,3,0,SA
DG Bedingham,2023-2025,12,0,0,0,0,0,0,0,0,0,0,0,15,0,SA
JG Bethell,2024-2024,3,2,92,0,77,3,3/72,25.66,5.02,30.6,0,0,4,0,ENG
KS Bharat,2024-2024,2,0,0,0,0,0,0,0,0,0,0,0,6,0,IND
J Blackwood,2023-2023,2,1,12,0,4,0,0,0,2,0,0,0,1,0,WI
TA Blundell,2023-2024,14,0,0,0,0,0,0,0,0,0,0,0,35,6,NZ
SM Boland,2023-2025,5,10,892,30,508,23,6/45,22.08,3.41,38.7,1,1,1,0,AUS
C Bosch,2024-2024,1,2,160,5,117,5,4/63,23.4,4.38,32,0,0,1,0,SA
N Brand,2024-2024,2,2,234,2,171,8,6/119,21.37,4.38,29.2,1,0,3,0,SA
KC Brathwaite,2023-2025,13,10,139,1,60,0,0,0,2.58,0,0,0,5,0,WI
MP Breetzke,2024-2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SA
SCJ Broad,2023-2023,5,10,1106,33,625,22,4/65,28.4,3.39,50.2,0,0,0,0,ENG
HC Brook,2023-2024,17,3,48,2,25,0,0,0,3.12,0,0,0,21,0,ENG
JJ Bumrah,2023-2025,15,28,2362,91,1162,77,6/45,15.09,2.95,30.6,5,0,8,0,IND
N Burger,2023-2024,3,6,376,14,237,14,4/33,16.92,3.78,26.8,0,0,1,0,SA
AT Carey,2023-2025,19,0,0,0,0,0,0,0,0,0,0,0,79,16,AUS
BA Carse,2024-2024,5,10,937,22,536,27,6/42,19.85,3.43,34.7,1,1,6,0,ENG
KU Carty,2024-2025,5,0,0,0,0,0,0,0,0,0,0,0,1,0,WI
T Chanderpaul,2023-2024,4,0,0,0,0,0,0,0,0,0,0,0,2,0,WI
