Team,Score,Opposition,Ground
ENG,823/7d,v PAK,Multan
AUS,654/6d,v SL,Galle
SA,615,v PAK,Cape Town
SL,602/5d,v NZ,Galle
ENG,592,v AUS,Manchester
PAK,576/5d,v SL,Colombo (SSC)
SA,575/6d,v BAN,Chattogram
BAN,565,v PAK,Rawalpindi
PAK,556,v ENG,Multan
SL,531,v BAN,Chattogram
NZ,511,v SA,Mount Maunganui
ENG,499,v NZ,Christchurch
AUS,487,v PAK,Perth
IND,487/6d,v AUS,Perth
PAK,478,v SA,Cape Town
IND,477,v ENG,Dharamsala
AUS,474,v IND,Melbourne
IND,462,v NZ,Bengaluru
PAK,461,v SL,Galle
WI,457,v ENG,Nottingham
NZ,453,v ENG,Hamilton
WI,450/9d,v BAN,North Sound
PAK,448/6d,v BAN,Rawalpindi
AUS,445,v IND,Brisbane
IND,445,v ENG,Rajkot
IND,438,v WI,Port of Spain
IND,436,v ENG,Hyderabad
IND,430/4d,v ENG,Rajkot
ENG,427/6d,v NZ,Wellington
ENG,427,v SL,Lord's
ENG,425,v WI,Nottingham
IND,421/5d,v WI,Roseau
ENG,420,v IND,Hyderabad
SL,418,v BAN,Sylhet
ENG,416,v WI,Nottingham
AUS,416,v ENG,Lord's
AUS,414,v SL,Galle
SA,408,v IND,Centurion
NZ,402,v IND,Bengaluru
IND,396,v ENG,Visakhapatnam
ENG,395,v AUS,The Oval
ENG,393/8d,v AUS,Birmingham
AUS,386,v ENG,Birmingham
AUS,383,v NZ,Wellington
ENG,376,v WI,Birmingham
IND,376,v BAN,Chennai
NZ,372,v AUS,Christchurch
ENG,371,v WI,Lord's
IND,369,v AUS,Melbourne
SA,366/5d,v SL,Durban
PAK,366,v ENG,Multan
NZ,360,v SL,Galle
ENG,358,v SL,Manchester
SA,358,v SL,Gqeberha
SA,357,v WI,Port of Spain
ENG,353,v IND,Ranchi
NZ,348,v ENG,Christchurch
NZ,347,v ENG,Hamilton
PAK,344,v ENG,Rawalpindi
NZ,340,v SL,Galle
BAN,338,v NZ,Sylhet
AUS,337,v IND,Adelaide
AUS,334,v ENG,The Oval
SL,328,v SA,Gqeberha
ENG,327,v AUS,Lord's
SL,326,v ENG,Manchester
ENG,325,v SL,The Oval
ENG,325,v AUS,Lord's
ENG,319,v IND,Rajkot
BAN,318,v SL,Chattogram
AUS,318,v PAK,Melbourne
SA,317,v SL,Gqeberha
AUS,317,v ENG,Manchester
NZ,317,v BAN,Sylhet
PAK,313,v AUS,Sydney
SL,312,v PAK,Galle
WI,311,v AUS,Brisbane
BAN,310,v NZ,Sylhet
SL,309,v NZ,Galle
SA,308,v BAN,Mirpur
BAN,307,v SA,Mirpur
IND,307,v ENG,Ranchi
SL,305,v NZ,Galle
SA,301,v PAK,Centurion
AUS,299,v PAK,Sydney
AUS,295,v ENG,The Oval
ENG,292,v IND,Visakhapatnam
SL,292,v ENG,Lord's
ENG,291,v PAK,Multan
AUS,289/9d,v WI,Brisbane
IND,287/4d,v BAN,Chennai
IND,285/9d,v BAN,Kanpur
ENG,283,v AUS,The Oval
AUS,283,v WI,Adelaide
WI,282,v ENG,Birmingham
SL,282,v SA,Durban
AUS,282/8,v ENG,Birmingham
AUS,281/7,v NZ,Christchurch
ENG,280,v NZ,Wellington
SL,280,v BAN,Sylhet
