Player,Country,Span,Mat,Inns,Dismissed,Ct,St,Max Dis Inns,Dis/Inn
AT Carey (AUS),AUS,2023-2025,19,37,95,79,16,5,2.567
TA Blundell (NZ),NZ,2023-2024,14,27,41,35,6,4,1.518
Mohammad Rizwan (PAK),PAK,2023-2025,12,21,40,33,7,6,1.904
Litton Das (BAN),BAN,2024-2024,9,18,38,32,6,4,2.111
J Da Silva (WI),WI,2023-2024,11,20,36,35,1,4,1.8
K Verreynne (SA),SA,2023-2025,10,20,35,31,4,5,1.75
JL Smith (ENG),ENG,2024-2024,9,18,32,31,1,3,1.777
RR Pant (IND),IND,2024-2025,10,20,31,30,1,5,1.55
JM Bairstow (ENG),ENG,2023-2024,10,10,24,23,1,4,2.4
BKG Mendis (SL),SL,2023-2025,12,15,20,18,2,3,1.333
BT Foakes (ENG),ENG,2024-2024,5,9,16,12,4,3,1.777
OJ Pope (ENG),ENG,2023-2024,19,6,10,10,0,4,1.666
Sarfaraz Ahmed (PAK),PAK,2023-2023,3,6,10,10,0,4,1.666
Nurul Hasan (BAN),BAN,2023-2023,2,4,9,7,2,3,2.25
KL Rahul (IND),IND,2023-2025,11,3,8,8,0,3,2.666
LD Chandimal (SL),SL,2023-2025,13,4,8,8,0,4,2
DC Jurel (IND),IND,2024-2024,4,6,7,5,2,2,1.166
KS Bharat (IND),IND,2024-2024,2,4,6,6,0,2,1.5
TA Imlach (WI),WI,2025-2025,2,4,6,5,1,4,1.5
C Fortuin (SA),SA,2024-2024,2,4,5,3,2,3,1.25
Ishan Kishan (IND),IND,2023-2023,2,4,5,5,0,3,1.25
KNM Fernando (SL),SL,2023-2024,6,2,4,4,0,3,2
S Samarawickrama (SL),SL,2023-2023,2,3,4,3,1,2,1.333
Mahidul Islam Ankon (BAN),BAN,2024-2024,1,1,1,1,0,1,1
