Team 1,Team 2,Winner,Margin.2,Ground,Is_Home
SL,AUS,AUS,Batting_Second,Galle,No
SL,AUS,AUS,Batting_First,Galle,No
PAK,WI,WI,Batting_First,Multan,No
PAK,WI,PAK,Batting_First,Multan,Yes
SA,PAK,SA,Batting_Second,Cape Town,Yes
AUS,IND,AUS,Batting_Second,Sydney,Yes
SA,PAK,SA,Batting_Second,Centurion,Yes
AUS,IND,AUS,Batting_First,Melbourne,Yes
AUS,IND,,,Brisbane,
NZ,ENG,NZ,Batting_First,Hamilton,Yes
AUS,IND,AUS,Batting_Second,Adelaide,Yes
NZ,ENG,ENG,Batting_First,Wellington,No
SA,SL,SA,Batting_First,Gqeberha,Yes
WI,BAN,BAN,Batting_First,Kingston,No
NZ,ENG,ENG,Batting_Second,Christchurch,No
SA,SL,SA,Batting_First,Durban,Yes
WI,BAN,WI,Batting_First,North Sound,Yes
AUS,IND,IND,Batting_First,Perth,No
IND,NZ,NZ,Batting_First,Wankhede,No
BAN,SA,SA,Batting_First,Chattogram,No
PAK,ENG,PAK,Batting_Second,Rawalpindi,Yes
IND,NZ,NZ,Batting_First,Pune,No
BAN,SA,SA,Batting_Second,Mirpur,No
IND,NZ,NZ,Batting_Second,Bengaluru,No
PAK,ENG,PAK,Batting_First,Multan,Yes
PAK,ENG,ENG,Batting_First,Multan,No
IND,BAN,IND,Batting_Second,Kanpur,Yes
SL,NZ,SL,Batting_First,Galle,Yes
IND,BAN,IND,Batting_First,Chennai,Yes
SL,NZ,SL,Batting_First,Galle,Yes
ENG,SL,SL,Batting_Second,The Oval,No
PAK,BAN,BAN,Batting_Second,Rawalpindi,No
ENG,SL,ENG,Batting_First,Lord's,Yes
ENG,SL,ENG,Batting_Second,Manchester,Yes
PAK,BAN,BAN,Batting_Second,Rawalpindi,No
WI,SA,SA,Batting_First,Providence,No
WI,SA,,,Port of Spain,
ENG,WI,ENG,Batting_Second,Birmingham,Yes
ENG,WI,ENG,Batting_First,Nottingham,Yes
ENG,WI,ENG,Batting_First,Lord's,Yes
BAN,SL,SL,Batting_First,Chattogram,No
BAN,SL,SL,Batting_First,Sylhet,No
NZ,AUS,AUS,Batting_Second,Christchurch,No
IND,ENG,IND,Batting_First,Dharamsala,Yes
NZ,AUS,AUS,Batting_First,Wellington,No
IND,ENG,IND,Batting_Second,Ranchi,Yes
IND,ENG,IND,Batting_First,Rajkot,Yes
NZ,SA,NZ,Batting_Second,Hamilton,Yes
NZ,SA,NZ,Batting_First,Mount Maunganui,Yes
IND,ENG,IND,Batting_First,Visakhapatnam,Yes
AUS,WI,WI,Batting_First,Brisbane,No
IND,ENG,ENG,Batting_First,Hyderabad,No
AUS,WI,AUS,Batting_Second,Adelaide,Yes
SA,IND,IND,Batting_Second,Cape Town,No
AUS,PAK,AUS,Batting_Second,Sydney,Yes
SA,IND,SA,Batting_First,Centurion,Yes
AUS,PAK,AUS,Batting_First,Melbourne,Yes
AUS,PAK,AUS,Batting_First,Perth,Yes
BAN,NZ,NZ,Batting_Second,Mirpur,No
BAN,NZ,BAN,Batting_First,Sylhet,Yes
ENG,AUS,ENG,Batting_First,The Oval,Yes
SL,PAK,PAK,Batting_First,Colombo (SSC),No
WI,IND,,,Port of Spain,
ENG,AUS,,,Manchester,
SL,PAK,PAK,Batting_Second,Galle,No
WI,IND,IND,Batting_First,Roseau,No
ENG,AUS,ENG,Batting_Second,Leeds,Yes
ENG,AUS,AUS,Batting_First,Lord's,No
ENG,AUS,AUS,Batting_Second,Birmingham,No
